Segment Number,Scene Title ,Start Time (s) , End Time (s) ,Start TR,"Segment Details - dialogue, movement",Shot Details - when the camera cuts,Scene Details ,Space-In/Outdoor,Name - All,Name - Focus,Name - Speaking,Location,Camera Angle,Words on Screen ,Music Presence ,Arousal (?),valence (+ / - ),,,,,,,
111,,477,484,596,"""The recital? I am the greatest criminal mind iof the century, I don't go to little girls' dance recitals!"" he says as he throws the ticket away", ,,Indoor,Gru,Gru,Gru,Rocket hangar,Medium,,Y,3, -,,,,,,,
112,,484,485,605,"The minions reach out to catch the falling ticket, the every small minon in the hand of the regular sized one catches it", ,,Indoor,Minions (2),Minions (2),-,Rocket hangar,Medium,,Y,2, -,,,,,,,
113,,486,488,608,The regular size minion regains his balance then steps closer to Gru,,,Indoor,"Minions (2), Gru",Minions (2),-,Rocket hangar,Long,,Y,1, -,,,,,,,
114,,488,489,610,"The regular minions hand reaches to a pocket in Gru's spacesuit, wherein the very small minion puts the ticket", ,,Indoor,"Minions (2), Gru (leg)",Very small minion,-,Rocket hangar,Close,Swan Lake,Y,1, +,,,,,,,
115,,489,493,611,"As the platform reaches the top, the minion turns away while Gru starts walking towards the head of the rocket", ,20. Entering the rocket,Indoor,"Minions (2), Gru",Gru,-,Rocket hangar,Long,,Y,1, +,,,,,,,
116,,493,498,616,"Gru walks and swings into the head of the rocket, sits down and starts fastening the seatbelt", ,,Indoor,Gru,Gru,-,Rocket hangar,Long,,Y,1, +,,,,,,,
117,,499,499,624,He locks the seatbelt,,,Indoor,Gru,Gru,-,Rocket cockpit,Close,,Y,2, +,,,,,,,
118,,500,500,625,The cockpit seals around Gru with a glass bubble,,,Indoor,Gru,-,-,Rocket hangar,Long,,Y,2, +,,,,,,,
119,,501,503,626,A minion breathes on the glass bubble and wipes it away with a squeegee,,,Indoor,Minion,Minion,-,Rocket cockpit,Medium,,Y,1, +,,,,,,,
120,,503,505,629,Gru adjusts controls and taps a blender(?) as the screen startd flashing,,21. Starting launch,Indoor,Gru,Gru,-,Rocket cockpit,Medium,,Y,1, +,,,,,,,
121,,506,510,633,"Dr. Nefario is seen on the screen, ""Opening launch bay doors"", he says while pressing controls. Then: ""Commencing...""", ,,Indoor,Dr. Nefario,Dr. Nefario,Dr. Nefario,Rocket cockpit,Close,,Y,1, +,,,,,,,
122,,511,513,639,"Dr. Nefario is still speaking: ""... launch sequence. And we are..""Meanwhile Gru looks up through the glass", ,,Indoor,Gru,Gru,Dr. Nefario,Rocket cockpit,Medium,,Y,2, +,,,,,,,
123,"Launch: neighbor outside, hector coming, attaching",513,515,641,"The roof opens, while Dr. Nefario can be heard over loudspeaker saying ""good to go! In t-minus...""", ,,Indoor,Gru,-,Dr. Nefario,Rocket hangar,Long,,Y,2, +,,,,,,,
124,,515,516,644,"A minion walks at the base of the rocket while platforms can be seen descending while Dr. Nefario can be hear dover loudspeaker saying ""10...""", ,,Indoor,Minion,Minion,Dr. Nefario,Rocket hangar,Long,,Y,1, +,,,,,,,
125,,516,517,645,"Minions are walking out of the hangar area while D.r Nefarios voice over the loudspeaker says: ""seconds""", ,,Indoor,Minions (2),Minions (2),Dr. Nefario,Rocket hangar,Long,,Y,2, +,,,,,,,
126,,518,522,648,"Steam is coming from the rocket whiel Dr. Nefarios voice says ""Ten... nine... eight... seven""", ,,Indoor,-,-,Dr. Nefario,Rocket hangar,Long,,Y,3, +,,,,,,,
127,,522,523,653,"Dr. Nefario adjusting controls, saying ""six""",,,Indoor,Dr. Nefario,Dr. Nefario,Dr. Nefario,Launchroom,Medium,,Y,2, +,,,,,,,
128,,523,530,654,"The neighbour is seen polishing the hood of his car, when the polish bottle starts shaking. He looks around as it falls over.", ,22. Rocket launch and Hector,Outdoor,Neighbour,Neighbour,-,Street,Medium,,N,2, -,,,,,,,
129,,531,533,664,A big shadow of the rocket appears on the street behind him and he turns around, ,,Outdoor,Neighbour,Neighbour,-,Street,Long,,N,2, -,,,,,,,
130,,533,535,666,"The rocket slowly moves up besides Gru's house, making a lot of noise",,,Outdoor,Neighbour,-,-,Street,Long,,N,3, -,,,,,,,
131,,535,537,669,The shadow of the rocket covers the neighbour. Hector walsk into the frame, ,,Outdoor,"Neighbour, Hector","Neighbour, Hector",-,Street,Long,,N,2, -,,,,,,,
132,,537,540,671,The neighbour turns to look at Hector who raises a futuristic gun,,,Outdoor,"Neighbour, Hector",Hector,-,Street,Medium,,Y,3, -,,,,,,,
133,,540,542,675,Hector fires the device and a squid shoots out,,,Outdoor,"Hector, Neighbour",Hector,-,Street,Long,,Y,3, -,,,,,,,
134,,542,543,678,The squid attaches to the side of the rocket,,,Outdoor,Squid,Squid,-,Street,Medium,,Y,3, -,,,,,,,
135,,544,544,680,The giant rocket is taking off from the ground,,,Outdoor,-,-,-,Neighbourhood,Long,,Y,3, +,,,,,,,
136,,545,546,681,The rocket flies into the sky,,,Outdoor,-,-,-,Neighbourhood,Long,,Y,3, +,,,,,,,
137,,547,549,684,Hector hands the squid gun to the neighbour and is pulled upwards by a rope attached to his pantsuit (and the squid), , ,Outdoor,"Hector, Neighbour",Hector,-,Street,Long,,Y,3, +,,,,,,,
138,In the sky: Gry flies in the rocket,549,550,686,"Hector is hauled after the rocket into the sky, yellign ""Oh yeah!""",, ,Outdoor,Hector,Hector,Hector,Sky,Long,,Y,4, +,,,,,,,
139,,551,552,689,"Hector is pulled up by the rope to the squid, grabs the squid and holds onto it and the rocket", , ,Outdoor,"Hector, squid",Hector,-,Sky,Long,,Y,4, +,,,,,,,
140,,552,556,690,"Gru sits in the cockpit, he turns to a screen and says ""Nice work Doctor, all systems go"" - then suddenly Hector appears in front of him", ,"23. ""Fighting"" Hector",Outdoor,Gru,Gru,Gru,Rocket cockpit,Medium,,Y,2, +,,,,,,,
141,,556,556,695,"Hector positions himself outside the cockpit with his piranha-shooter directed at Gru and shouts: ""Boo yeah!"" ", ,,Outdoor,"Gru, Hector",Hector,Hector,Rocket cockpit,Medium,,Y,4, -,,,,,,,
142,,557,557,696,"Gru looks suprised, then determined as he leans forward",,,Outdoor,Gru,Gru,-,Rocket cockpit,Close,,Y,4, -,,,,,,,
143,,557,559,696,"Gru's hand turns a switch on the cockpit in front of Hector - and blue electricity covers his (Hector's) body, makign him jump up", ,,Outdoor,"Gru, Hector",Hector,-,Rocket cockpit,Medium,,Y,4, -,,,,,,,
144,,559,563,699,"Hector is writhing above with cockpit with blue electricity covering him - and yelling. Then, it disappears and he falls down, bounces off the cockpit and falls further down along the rocket before he falls towards the far-away ground/earth", ,,Outdoor,"Gru, Hector",Hector,Hector,Sky,Long,,Y,5, -,,,,,,,
145,,564,566,705,Hector is seen as a tiny person falling through the sky,,24. Hector's fall,Outdoor,Hector,Hector,-,Sky,Long!,,Y,5, -,,,,,,,
146,,566,570,708,"Hector wiggles around in the air, making noises. He says: ""My flight suit!"", stretches his shirt and a web appears between his legs and at his sides", ,,Outdoor,Hector,Hector,Hector,Sky,Medium,,Y,4, -,,,,,,,
147,,570,575,713,"Hector glides through the air, shouting: ""Oh yeah! Once again the mighty-"" and forcefully hits a metal construction", ,,Outdoor,Hector,Hector,Hector,Sky,Long,,Y,4, +,,,,,,,
148,,575,577,719,"The metal construction turns out to be a transmission line tower, which shocks Hector and he falls to the ground with a scream", ,,Outdoor,Hector,Hector,Hector,Woods,Long,,N,4, -,,,,,,,
149,,577,579,721,"We see the sky through the cockpit, everything is shaking",,25. Continued ascend,Outdoor,-,-,-,Rocket cockpit,Close,,Y,3, -,,,,,,,
150,,579,580,724,"Gru is in the cockpit, yelling, as the whole construction is shaking",,,Outdoor,Gru,Gru,Gru,Rocket cockpit,Close,,Y,4, -,,,,,,,
151,,580,586,725,"A minion is floating with an Erlenmeyer flask. When he eyes the rocket, he tries to push himself through the air to be in line with its trajectory while speaking gibberish. The rocket hits the minion and flies past", ,,Outdoor,Minion,Minion,Minion,Sky,Long,,N,3, -,,,,,,,
152,,586,588,733,"The rocket flies upwards, leaving a big trail of steam/smoke",,,Outdoor,-,-,-,Sky,Long,,N,3, +,,,,,,,
153,,589,590,736,"Another shot of the sky through the cockpit, everything is still shaking",,26. Entering space,Outdoor,-,-,-,Rocket cockpit,Close,,Y,3, -,,,,,,,
154,,590,594,738,"The rocket reaches the end of the atmosphere, where it is dark, and the huge jet fire behind it dies out", ,,Outdoor,-,-,-,Sky,Long,,Y,2, +,,,,,,,
155,,594,596,743,Gru's face gets a determined expression and he looks at some controls out of the picture, ,,Outdoor,Gru,Gru,-,Rocket cockpit,Close,,Y,2, -,,,,,,,
156,,596,600,745,Big (engine) parts of the rocket detaches and it continues into space,,,Outdoor,-,-,-,Space,Long,,Y,2, +,,,,,,,
157,,,,0,,,,,,,,,,,,,,,,,,,,
158,,,,0,,,,,,,,,,,,,,,,,,,,
159,,,,0,,,,,,,,,,,,,,,,,,,,
160,,,,0,,,,,,,,,,,,,,,,,,,,
161,,,,0,,,,,,,,,,,,,,,,,,,,
162,,,,0,,,,,,,,,,,,,,,,,,,,
163,,,,0,,,,,,,,,,,,,,,,,,,,
164,,,,0,,,,,,,,,,,,,,,,,,,,
165,,,,0,,,,,,,,,,,,,,,,,,,,
166,,,,0,,,,,,,,,,,,,,,,,,,,
167,,,,0,,,,,,,,,,,,,,,,,,,,
168,,,,0,,,,,,,,,,,,,,,,,,,,
169,,,,0,,,,,,,,,,,,,,,,,,,,
170,,,,0,,,,,,,,,,,,,,,,,,,,
171,,,,0,,,,,,,,,,,,,,,,,,,,
172,,,,0,,,,,,,,,,,,,,,,,,,,
173,,,,0,,,,,,,,,,,,,,,,,,,,
174,,,,0,,,,,,,,,,,,,,,,,,,,
175,,,,0,,,,,,,,,,,,,,,,,,,,
176,,,,0,,,,,,,,,,,,,,,,,,,,
177,,,,0,,,,,,,,,,,,,,,,,,,,
178,,,,0,,,,,,,,,,,,,,,,,,,,
179,,,,0,,,,,,,,,,,,,,,,,,,,
180,,,,0,,,,,,,,,,,,,,,,,,,,
181,,,,0,,,,,,,,,,,,,,,,,,,,
182,,,,0,,,,,,,,,,,,,,,,,,,,
183,,,,0,,,,,,,,,,,,,,,,,,,,
184,,,,0,,,,,,,,,,,,,,,,,,,,
185,,,,0,,,,,,,,,,,,,,,,,,,,
186,,,,0,,,,,,,,,,,,,,,,,,,,
187,,,,0,,,,,,,,,,,,,,,,,,,,
188,,,,0,,,,,,,,,,,,,,,,,,,,
189,,,,0,,,,,,,,,,,,,,,,,,,,
190,,,,0,,,,,,,,,,,,,,,,,,,,
191,,,,0,,,,,,,,,,,,,,,,,,,,
192,,,,0,,,,,,,,,,,,,,,,,,,,
193,,,,0,,,,,,,,,,,,,,,,,,,,
194,,,,0,,,,,,,,,,,,,,,,,,,,
195,,,,0,,,,,,,,,,,,,,,,,,,,
196,,,,0,,,,,,,,,,,,,,,,,,,,
197,,,,0,,,,,,,,,,,,,,,,,,,,
198,,,,0,,,,,,,,,,,,,,,,,,,,
199,,,,0,,,,,,,,,,,,,,,,,,,,
200,,,,0,,,,,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,,,,,,,
273,,,,,,,,,,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,,,,,,,,
287,,,,,,,,,,,,,,,,,,,,,,,,
288,,,,,,,,,,,,,,,,,,,,,,,,
289,,,,,,,,,,,,,,,,,,,,,,,,
290,,,,,,,,,,,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,,,,,,,,,
292,,,,,,,,,,,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,,,,,,,,,
294,,,,,,,,,,,,,,,,,,,,,,,,
295,,,,,,,,,,,,,,,,,,,,,,,,
296,,,,,,,,,,,,,,,,,,,,,,,,
297,,,,,,,,,,,,,,,,,,,,,,,,
298,,,,,,,,,,,,,,,,,,,,,,,,
299,,,,,,,,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,,,,,,,,,
305,,,,,,,,,,,,,,,,,,,,,,,,
306,,,,,,,,,,,,,,,,,,,,,,,,
307,,,,,,,,,,,,,,,,,,,,,,,,
308,,,,,,,,,,,,,,,,,,,,,,,,
309,,,,,,,,,,,,,,,,,,,,,,,,
310,,,,,,,,,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,,,,,,,
312,,,,,,,,,,,,,,,,,,,,,,,,
313,,,,,,,,,,,,,,,,,,,,,,,,
314,,,,,,,,,,,,,,,,,,,,,,,,
315,,,,,,,,,,,,,,,,,,,,,,,,
316,,,,,,,,,,,,,,,,,,,,,,,,
317,,,,,,,,,,,,,,,,,,,,,,,,
318,,,,,,,,,,,,,,,,,,,,,,,,
319,,,,,,,,,,,,,,,,,,,,,,,,
320,,,,,,,,,,,,,,,,,,,,,,,,
321,,,,,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,,,,,,,,
324,,,,,,,,,,,,,,,,,,,,,,,,
325,,,,,,,,,,,,,,,,,,,,,,,,
326,,,,,,,,,,,,,,,,,,,,,,,,
327,,,,,,,,,,,,,,,,,,,,,,,,
328,,,,,,,,,,,,,,,,,,,,,,,,
329,,,,,,,,,,,,,,,,,,,,,,,,
330,,,,,,,,,,,,,,,,,,,,,,,,
331,,,,,,,,,,,,,,,,,,,,,,,,
332,,,,,,,,,,,,,,,,,,,,,,,,
333,,,,,,,,,,,,,,,,,,,,,,,,
334,,,,,,,,,,,,,,,,,,,,,,,,
335,,,,,,,,,,,,,,,,,,,,,,,,
336,,,,,,,,,,,,,,,,,,,,,,,,
337,,,,,,,,,,,,,,,,,,,,,,,,
338,,,,,,,,,,,,,,,,,,,,,,,,
339,,,,,,,,,,,,,,,,,,,,,,,,
340,,,,,,,,,,,,,,,,,,,,,,,,
341,,,,,,,,,,,,,,,,,,,,,,,,
342,,,,,,,,,,,,,,,,,,,,,,,,
343,,,,,,,,,,,,,,,,,,,,,,,,
344,,,,,,,,,,,,,,,,,,,,,,,,
345,,,,,,,,,,,,,,,,,,,,,,,,
346,,,,,,,,,,,,,,,,,,,,,,,,
347,,,,,,,,,,,,,,,,,,,,,,,,
348,,,,,,,,,,,,,,,,,,,,,,,,
349,,,,,,,,,,,,,,,,,,,,,,,,
350,,,,,,,,,,,,,,,,,,,,,,,,
351,,,,,,,,,,,,,,,,,,,,,,,,
352,,,,,,,,,,,,,,,,,,,,,,,,
353,,,,,,,,,,,,,,,,,,,,,,,,
354,,,,,,,,,,,,,,,,,,,,,,,,
355,,,,,,,,,,,,,,,,,,,,,,,,
356,,,,,,,,,,,,,,,,,,,,,,,,
357,,,,,,,,,,,,,,,,,,,,,,,,
358,,,,,,,,,,,,,,,,,,,,,,,,
359,,,,,,,,,,,,,,,,,,,,,,,,
360,,,,,,,,,,,,,,,,,,,,,,,,
361,,,,,,,,,,,,,,,,,,,,,,,,
362,,,,,,,,,,,,,,,,,,,,,,,,
363,,,,,,,,,,,,,,,,,,,,,,,,
364,,,,,,,,,,,,,,,,,,,,,,,,
365,,,,,,,,,,,,,,,,,,,,,,,,
366,,,,,,,,,,,,,,,,,,,,,,,,
367,,,,,,,,,,,,,,,,,,,,,,,,
368,,,,,,,,,,,,,,,,,,,,,,,,
369,,,,,,,,,,,,,,,,,,,,,,,,
370,,,,,,,,,,,,,,,,,,,,,,,,
371,,,,,,,,,,,,,,,,,,,,,,,,
372,,,,,,,,,,,,,,,,,,,,,,,,
373,,,,,,,,,,,,,,,,,,,,,,,,
374,,,,,,,,,,,,,,,,,,,,,,,,
375,,,,,,,,,,,,,,,,,,,,,,,,
376,,,,,,,,,,,,,,,,,,,,,,,,
377,,,,,,,,,,,,,,,,,,,,,,,,
378,,,,,,,,,,,,,,,,,,,,,,,,
379,,,,,,,,,,,,,,,,,,,,,,,,
380,,,,,,,,,,,,,,,,,,,,,,,,
381,,,,,,,,,,,,,,,,,,,,,,,,
382,,,,,,,,,,,,,,,,,,,,,,,,
383,,,,,,,,,,,,,,,,,,,,,,,,
384,,,,,,,,,,,,,,,,,,,,,,,,
385,,,,,,,,,,,,,,,,,,,,,,,,
386,,,,,,,,,,,,,,,,,,,,,,,,
387,,,,,,,,,,,,,,,,,,,,,,,,
388,,,,,,,,,,,,,,,,,,,,,,,,
389,,,,,,,,,,,,,,,,,,,,,,,,
390,,,,,,,,,,,,,,,,,,,,,,,,
391,,,,,,,,,,,,,,,,,,,,,,,,
392,,,,,,,,,,,,,,,,,,,,,,,,
393,,,,,,,,,,,,,,,,,,,,,,,,
394,,,,,,,,,,,,,,,,,,,,,,,,
395,,,,,,,,,,,,,,,,,,,,,,,,
396,,,,,,,,,,,,,,,,,,,,,,,,
397,,,,,,,,,,,,,,,,,,,,,,,,
398,,,,,,,,,,,,,,,,,,,,,,,,
399,,,,,,,,,,,,,,,,,,,,,,,,
400,,,,,,,,,,,,,,,,,,,,,,,,
401,,,,,,,,,,,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,,,,,,,,,,,
403,,,,,,,,,,,,,,,,,,,,,,,,
404,,,,,,,,,,,,,,,,,,,,,,,,
405,,,,,,,,,,,,,,,,,,,,,,,,
406,,,,,,,,,,,,,,,,,,,,,,,,
407,,,,,,,,,,,,,,,,,,,,,,,,
408,,,,,,,,,,,,,,,,,,,,,,,,
409,,,,,,,,,,,,,,,,,,,,,,,,
410,,,,,,,,,,,,,,,,,,,,,,,,
411,,,,,,,,,,,,,,,,,,,,,,,,
412,,,,,,,,,,,,,,,,,,,,,,,,
413,,,,,,,,,,,,,,,,,,,,,,,,
414,,,,,,,,,,,,,,,,,,,,,,,,
415,,,,,,,,,,,,,,,,,,,,,,,,
416,,,,,,,,,,,,,,,,,,,,,,,,
417,,,,,,,,,,,,,,,,,,,,,,,,
418,,,,,,,,,,,,,,,,,,,,,,,,
419,,,,,,,,,,,,,,,,,,,,,,,,
420,,,,,,,,,,,,,,,,,,,,,,,,
421,,,,,,,,,,,,,,,,,,,,,,,,
422,,,,,,,,,,,,,,,,,,,,,,,,
423,,,,,,,,,,,,,,,,,,,,,,,,
424,,,,,,,,,,,,,,,,,,,,,,,,
425,,,,,,,,,,,,,,,,,,,,,,,,
426,,,,,,,,,,,,,,,,,,,,,,,,
427,,,,,,,,,,,,,,,,,,,,,,,,
428,,,,,,,,,,,,,,,,,,,,,,,,
429,,,,,,,,,,,,,,,,,,,,,,,,
430,,,,,,,,,,,,,,,,,,,,,,,,
431,,,,,,,,,,,,,,,,,,,,,,,,
432,,,,,,,,,,,,,,,,,,,,,,,,
433,,,,,,,,,,,,,,,,,,,,,,,,
434,,,,,,,,,,,,,,,,,,,,,,,,
435,,,,,,,,,,,,,,,,,,,,,,,,
436,,,,,,,,,,,,,,,,,,,,,,,,
437,,,,,,,,,,,,,,,,,,,,,,,,
438,,,,,,,,,,,,,,,,,,,,,,,,
439,,,,,,,,,,,,,,,,,,,,,,,,
440,,,,,,,,,,,,,,,,,,,,,,,,
441,,,,,,,,,,,,,,,,,,,,,,,,
442,,,,,,,,,,,,,,,,,,,,,,,,
443,,,,,,,,,,,,,,,,,,,,,,,,
444,,,,,,,,,,,,,,,,,,,,,,,,
445,,,,,,,,,,,,,,,,,,,,,,,,
446,,,,,,,,,,,,,,,,,,,,,,,,
447,,,,,,,,,,,,,,,,,,,,,,,,
448,,,,,,,,,,,,,,,,,,,,,,,,
449,,,,,,,,,,,,,,,,,,,,,,,,
450,,,,,,,,,,,,,,,,,,,,,,,,
451,,,,,,,,,,,,,,,,,,,,,,,,
452,,,,,,,,,,,,,,,,,,,,,,,,
453,,,,,,,,,,,,,,,,,,,,,,,,
454,,,,,,,,,,,,,,,,,,,,,,,,
455,,,,,,,,,,,,,,,,,,,,,,,,
456,,,,,,,,,,,,,,,,,,,,,,,,
457,,,,,,,,,,,,,,,,,,,,,,,,
458,,,,,,,,,,,,,,,,,,,,,,,,
459,,,,,,,,,,,,,,,,,,,,,,,,
460,,,,,,,,,,,,,,,,,,,,,,,,
461,,,,,,,,,,,,,,,,,,,,,,,,
462,,,,,,,,,,,,,,,,,,,,,,,,
463,,,,,,,,,,,,,,,,,,,,,,,,
464,,,,,,,,,,,,,,,,,,,,,,,,
465,,,,,,,,,,,,,,,,,,,,,,,,
466,,,,,,,,,,,,,,,,,,,,,,,,
467,,,,,,,,,,,,,,,,,,,,,,,,
468,,,,,,,,,,,,,,,,,,,,,,,,
469,,,,,,,,,,,,,,,,,,,,,,,,
470,,,,,,,,,,,,,,,,,,,,,,,,
471,,,,,,,,,,,,,,,,,,,,,,,,
472,,,,,,,,,,,,,,,,,,,,,,,,
473,,,,,,,,,,,,,,,,,,,,,,,,
474,,,,,,,,,,,,,,,,,,,,,,,,
475,,,,,,,,,,,,,,,,,,,,,,,,
476,,,,,,,,,,,,,,,,,,,,,,,,
477,,,,,,,,,,,,,,,,,,,,,,,,
478,,,,,,,,,,,,,,,,,,,,,,,,
479,,,,,,,,,,,,,,,,,,,,,,,,
480,,,,,,,,,,,,,,,,,,,,,,,,
483,,,,,,,,,,,,,,,,,,,,,,,,
484,,,,,,,,,,,,,,,,,,,,,,,,
485,,,,,,,,,,,,,,,,,,,,,,,,
486,,,,,,,,,,,,,,,,,,,,,,,,
487,,,,,,,,,,,,,,,,,,,,,,,,
488,,,,,,,,,,,,,,,,,,,,,,,,
489,,,,,,,,,,,,,,,,,,,,,,,,
490,,,,,,,,,,,,,,,,,,,,,,,,
491,,,,,,,,,,,,,,,,,,,,,,,,
492,,,,,,,,,,,,,,,,,,,,,,,,
493,,,,,,,,,,,,,,,,,,,,,,,,
494,,,,,,,,,,,,,,,,,,,,,,,,
495,,,,,,,,,,,,,,,,,,,,,,,,
496,,,,,,,,,,,,,,,,,,,,,,,,
497,,,,,,,,,,,,,,,,,,,,,,,,
498,,,,,,,,,,,,,,,,,,,,,,,,
499,,,,,,,,,,,,,,,,,,,,,,,,
500,,,,,,,,,,,,,,,,,,,,,,,,
501,,,,,,,,,,,,,,,,,,,,,,,,
502,,,,,,,,,,,,,,,,,,,,,,,,
503,,,,,,,,,,,,,,,,,,,,,,,,
504,,,,,,,,,,,,,,,,,,,,,,,,
505,,,,,,,,,,,,,,,,,,,,,,,,
506,,,,,,,,,,,,,,,,,,,,,,,,
507,,,,,,,,,,,,,,,,,,,,,,,,
508,,,,,,,,,,,,,,,,,,,,,,,,
509,,,,,,,,,,,,,,,,,,,,,,,,
510,,,,,,,,,,,,,,,,,,,,,,,,
511,,,,,,,,,,,,,,,,,,,,,,,,
512,,,,,,,,,,,,,,,,,,,,,,,,
513,,,,,,,,,,,,,,,,,,,,,,,,
514,,,,,,,,,,,,,,,,,,,,,,,,
515,,,,,,,,,,,,,,,,,,,,,,,,
516,,,,,,,,,,,,,,,,,,,,,,,,
517,,,,,,,,,,,,,,,,,,,,,,,,
518,,,,,,,,,,,,,,,,,,,,,,,,
519,,,,,,,,,,,,,,,,,,,,,,,,
520,,,,,,,,,,,,,,,,,,,,,,,,
521,,,,,,,,,,,,,,,,,,,,,,,,
522,,,,,,,,,,,,,,,,,,,,,,,,
523,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,,,,,,,,,,,,,,,,,,,,,
525,,,,,,,,,,,,,,,,,,,,,,,,
526,,,,,,,,,,,,,,,,,,,,,,,,
